platform	categoryId	question	answer			right	group	textarea
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР первично.			Нет	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР долгосрочно.			Нет	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР обязательно.			Да	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	Ассистент / помощник.			Да	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	Младший ЛВР.			Нет	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР коллегиально.			Да	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР скрытый.			Нет	4	0
lico	lico1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР уникальный.			Нет	4	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Подпись на документах.			Да	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Отдает распоряжения другим.			Да	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Легко идет на сотрудничество.			Нет	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Выполнение распоряжений других людей.			Да	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Оказание влияния на других людей.			Да	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Мнение и ссылки других людей.			Да	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Строгий и серьезный вид на переговорах.			Нет	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Профильное высшее образование.			Нет	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Работа по профильному образованию.			Нет	5	0
lico	lico1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Сертификаты международного образца.			Нет	5	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Позитивное отношение к нашей продукции.			Да	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Называет нас по имени и отчеству.			Нет	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Готовность идти на встречу в просьбах.			Да	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Готовность нарушать внутренние правила компании в нашу пользу.			Да	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Опыт работы в компании более года.			Нет	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	В письмах обращается на «Вы».			Нет	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Рекомендует нас и наши продукты другим.			Да	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Одинаковые с нами увлечения.			Нет	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Предпочитает устное общение письмам.			Нет	6	0
lico	lico1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Выбор наших продуктов и решений для личного использования.			Да	6	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Участники знакомы друг с другом.			Да	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Совместное участие в переговорах.			Да	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Одинаковый опыт работы в компании.			Нет	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Копия в электронной переписке.			Да	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Связь в организационной структуре фирмы.			Да	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Находятся на одном уровне иерархии.			Нет	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Используют похожий стиль общения.			Нет	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Одинаковый знак зодиака участников ГПР.			Нет	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Один участник может повлиять на другого.			Да	7	0
lico	lico1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Личные симпатии к Вам.			Нет	7	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Оценка клиента производится не чаще, чем раз в полгода.			Нет	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Сформированная стратегия не должна меняться до новой оценки клиента.			Нет	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Обычно есть только один правильный вариант стратегии продаж.			Нет	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Стратегия продаж может иметь различные сценарии.			Да	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	В группе принятия решения у клиента может быть не более 5 человек.			Нет	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Сила влияния участника ГПР зависит от конкретного предмета обсуждения.			Да	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Лояльные участники могут влиять на менее лояльных участников ГПР.			Да	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Можно вводить в ГПР новых участников для достижения результата.			Да	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Стратегия продаж нужна только в случае первой неудачи на переговорах.			Нет	8	0
lico	lico1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Не желательно принимать решение о параметрах ГПР по единичным признакам.			Да	8	0
lico	lico1	Как можно увеличить вероятность успеха стратегии продаж SMART SELLING?					9	0
lico	lico1	Приведите 3 и более способов повысить общий баланс ГПР.					10	0
lico	lico1	Приведите 3 или более способа повышения лояльности участника ГПР.					11	0
lico	lico1	Приведите 3 или более способов минимизации рисков стратегии SMART SELLING.					12	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Переговоры закончились раньше, чем Вы планировали.			Нет	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Переговоры закончились позже, чем Вы планировали.			Нет	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Переговоры улучшили отношения с клиентом.			Да	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Клиент подтвердил, что Ваша компания будет участвовать в тендере на поставку.			Да	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Клиент предложил Вам чай или кофе			Нет	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы познакомились с новым человеком в компании клиента.			Нет	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы достигли поставленную цель переговоров.			Да	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы договорились о следующих переговорах.			Нет	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы достигли на переговорах больше, чем планировали.			Да	21	0
lico	lico3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Клиент согласовал план совместных действий после переговоров.			Да	21	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Поставить цель переговоров.			Да	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Вспомнить лучшие цитаты о переговорах.			Нет	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Не проводить других переговоров в течение 4 часов до данных переговоров.			Нет	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Сообщить клиенту о том, что будет необходимо на переговорах с его стороны.			Да	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Собрать статистику Ваших успешных переговоров за предыдущий месяц.			Нет	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Придумать рифму к названию компании-клиента для переговоров.			Нет	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Подготовить необходимые материалы для данных переговоров.			Да	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Сделать физическую разминку перед переговорами.			Нет	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Заранее забронировать место и время переговоров, если это возможно.			Да	22	0
lico	lico3	Что обязательно необходимо сделать для подготовки к переговорам?	Эмоционально настроиться на успех в переговорах.			Да	22	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Переговоры начались вовремя.			Да	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Все участники переговоров присутствовали в начале переговоров.			Да	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Вы смогли удачно применить рифму к названию компании-клиента.			Нет	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	На переговорах сформировалась доверительная атмосфера.			Да	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Клиент сразу стал спрашивать о ценах и прочих условиях.			Нет	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Вам предложили чай или кофе.			Нет	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Клиент одобрил цель переговоров и вопросы для обсуждения.			Да	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Клиент первым вручил Вам свою визитную карточку.			Нет	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Согласована продолжительность переговоров.			Да	23	0
lico	lico3	Каковы обязательные признаки успешного начала переговоров?	Вы смогли начать переговоры с презентации продуктов и решений.			Нет	23	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	История отношений с клиентом.			Нет	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Текущая ситуация клиента.			Да	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Ваш личный опыт ведения переговоров.			Нет	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Параметры выбора продуктов и решений клиентом.			Да	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Планы и потребности развития клиента.			Да	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Широта и глубина ассортимента Ваших продуктов и решений.			Нет	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Динамика общих продаж Вашей продукции на рынке за текущий год.			Нет	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Способы оценки клиентом предложений и принятия решения.			Да	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Технические характеристики Ваших продуктов и решений.			Нет	24	0
lico	lico3	Из каких элементов состоит карта переговоров с клиентом?	Прочие параметры, важные для клиента.			Да	24	0
lico	lico3	Какие вопросы являются открытыми?	Что для Вас важно при выборе продуктов и решений?			Да	25	0
lico	lico3	Какие вопросы являются открытыми?	Насколько Вам нравится наше предложение?			Да	25	0
lico	lico3	Какие вопросы являются открытыми?	Вы согласны, что наши продукты хорошо Вам подходят?			Нет	25	0
lico	lico3	Какие вопросы являются открытыми?	Если мы сделаем скидку 2%, Вы готовы принять решение сегодня?			Нет	25	0
lico	lico3	Какие вопросы являются открытыми?	От нас зависит не все, Вы же понимаете?			Нет	25	0
lico	lico3	Какие вопросы являются открытыми?	Какие еще варианты Вы готовы рассматривать?			Да	25	0
lico	lico3	Какие вопросы являются открытыми?	Какие объемы закупок по нашей продукции у Вас в этом году?			Да	25	0
lico	lico3	Какие вопросы являются открытыми?	Сколько времени Вам понадобится для принятия решения, одна неделя - достаточно?			Нет	25	0
lico	lico3	Какие вопросы являются открытыми?	Как мы можем доказать Вам качество наших продуктов?			Да	25	0
lico	lico3	Какие вопросы являются открытыми?	Вы рады, что получили качественный продукт?			Нет	25	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Указание на то, как наше предложение удовлетворит потребности клиента.			Да	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Прямое указание на новинки этого года.			Нет	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Факт или свойство о продукте и / или компании.			Да	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Ссылка на предыдущие решения клиента.			Нет	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Смысл/значение свойства продукта и/или компании для клиента.			Да	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Просьба клиенту не возражать против нашего аргумента.			Нет	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Личный пример применения наших продуктов и решений			Нет	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Побуждение клиента к нужным нам решениям и/или действиям.			Да	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Пример рекламации на наши продукты и успешное решение ситуации.			Нет	26	0
lico	lico3	Из каких элементов состоит полностью правильно построенный аргумент?	Обратная связь от клиента о представленном аргументе.			Да	26	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Да, спасибо, что Вы сказали об этом. Уточните, пожалуйста, …			Да	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Нет, скорее всего, дело обстоит по-другому.			Нет	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Да, Вы полностью правы, к сожалению, но ничего не поделаешь…			Нет	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Вот как… То, что Вы говорите совсем неожиданно… Пока не знаю, что ответить Вам.			Нет	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Да, это важный вопрос, предлагаю обсудить его более подробно.			Да	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Спасибо за данную информацию, именно поэтому мы можем предложить Вам…			Да	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Я слышу то же самое очень часто… Давайте обсудим то, что более важно для нас...			Нет	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Ну, я не уверен, что Вы на самом деле правы на 100%.			Нет	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Действительно, этот вопрос имеет большое значение, при этом хочу сказать, что…			Да	27	0
lico	lico3	Какие варианты первой реакции на возражение Вы считаете правильными?	Позвольте я уточню детали и сообщу Вам варианты решения?			Да	27	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Поблагодарить клиента за встречу независимо от достигнутого результата.			Да	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Показать значимое психологическое превосходство над клиентом.			Нет	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Сказать, что мы не очень довольны переговорами, чтобы добиться еще большего.			Нет	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Согласовать с клиентом перечень достигнутых договоренностей.			Да	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Вспомнить и рассказать яркую смешную историю.			Нет	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Задать неожиданный вопрос, чтобы узнать настоящее мнение клиента.			Нет	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Сообщить клиенту о том, что в ближайшем будущем Вы будете очень заняты.			Нет	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Получить от клиента обратную связь о данных переговорах.			Да	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Проверить записи переговоров для фиксации итогов.			Да	28	0
lico	lico3	Что необходимо сделать в завершении переговоров?	Договориться с клиентом о дальнейших действиях.			Да	28	0
lico	lico3	Приведите три аргумента в пользу компании ABB					29	0
lico	lico3	Приведите три аргумента в пользу продукции ABB					30	0
lico	lico3	Приведите Ваши ответы на возражения клиента: "У нас уже есть поставщик и нас все устраивает."					31	0
lico	lico3	Приведите Ваши ответы на возражения клиента: "То, что Вы предлагаете, для нас очень дорого."					32	0
lico	lico3	Приведите Ваши ответы на возражения клиента: "То, что Мы пробовали ранее работать с ABB, но были не очень довольны.        "					33	0
lico	lico3	Как Вы можете само­стоятельно улучшать качество ведения Ваших переговоров?					34	0
quizard	quizard1	Что такое стратегия продаж?	Последовательность шагов в работе с клиентом для достижения цели продаж.			Да	101	0
quizard	quizard1	Что такое стратегия продаж?	Изучение истории компании клиента.			Нет	101	0
quizard	quizard1	Что такое стратегия продаж?	Решения и действия клиента, необходимые нам для достижения цели.			Да	101	0
quizard	quizard1	Что такое стратегия продаж?	«Маршрут» достижения желаемой цели в продажах и работе с клиентом.			Да	101	0
quizard	quizard1	Что такое стратегия продаж?	Цель по развитию продаж клиента.			Нет	101	0
quizard	quizard1	Что такое стратегия продаж?	Ответы на возможные возражения клиента, подготовленные нами заранее.			Нет	101	0
quizard	quizard1	Что такое стратегия продаж?	Последовательные этапы при работе с клиентом в текущем периоде.			Да	101	0
quizard	quizard1	Что такое стратегия продаж?	Комплексный план достижения желаемого результата продаж клиенту.			Да	101	0
quizard	quizard1	Что такое стратегия продаж?	Общее понимание планов продаж с клиентом.			Нет	101	0
quizard	quizard1	Что такое стратегия продаж?	Своевременное заполнение отчетов по работе с клиентом.			Нет	101	0
quizard	quizard1	Укажите, что является целью переговоров?	Презентовать компанию клиенту.			Нет	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Познакомится с клиентом лично.			Нет	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Получить согласие на следующую встречу с лицом, принимающим решение.			Да	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Получить заказ на первую поставку.			Да	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Получить от клиента согласие на расширение ассортимента.			Да	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Приехать на встречу вовремя.			Нет	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Провести клиенту аргументы в пользу наших продуктов.			Нет	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Вывести клиента на откровенный разговор о конкурентах.			Нет	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Согласовать с клиентом цены по планируемому проекту.			Да	102	0
quizard	quizard1	Укажите, что является целью переговоров?	Получить от клиента рекомендации для других потенциальных клиентов.			Да	102	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Область ответственности участника ГПР.			Да	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Сила влияния на решение.			Да	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Опыт работы в целевой сфере бизнеса.			Нет	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Лояльность к нашим продуктам и решениям.			Да	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Личные увлечения клиента.			Нет	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Коммуникации с другими участниками.			Да	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Предыдущее место работы.			Нет	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	День рождения участника группы.			Нет	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Кто на кого влияет в группе принятия решения.			Да	103	0
quizard	quizard1	Что нужно знать об участниках группы принятия решения (ГПР) для правильного формирования карты SMARTSELLING?	Наличие лицензий и сертификатов для ведения строительных работ.			Нет	103	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР единолично			Да	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР ситуативно.			Да	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР первично.			Нет	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР долгосрочно.			Нет	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР обязательно.			Да	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	Ассистент / помощник.			Да	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	Младший ЛВР.			Нет	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР коллегиально.			Да	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛВР скрытый.			Нет	104	0
quizard	quizard1	Какие уровни оценки силы влияния применяются в методике SMART SELLING?	ЛПР уникальный.			Нет	104	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Подпись на документах.			Да	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Отдает распоряжения другим.			Да	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Легко идет на сотрудничество.			Нет	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Выполнение распоряжений других людей.			Да	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Оказание влияния на других людей.			Да	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Мнение и ссылки других людей.			Да	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Строгий и серьезный вид на переговорах.			Нет	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Профильное высшее образование.			Нет	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Работа по профильному образованию.			Нет	105	0
quizard	quizard1	Какие признаки можно использовать для оценки силы влияния в методике SMARTSELLING?	Сертификаты международного образца.			Нет	105	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Позитивное отношение к нашей продукции.			Да	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Называет нас по имени и отчеству.			Нет	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Готовность идти на встречу в просьбах.			Да	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Готовность нарушать внутренние правила компании в нашу пользу.			Да	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Опыт работы в компании более года.			Нет	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	В письмах обращается на «Вы».			Нет	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Рекомендует нас и наши продукты другим.			Да	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Одинаковые с нами увлечения.			Нет	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Предпочитает устное общение письмам.			Нет	106	0
quizard	quizard1	Какие признаки можно использовать для оценки лояльности в методике SMARTSELLING?	Выбор наших продуктов и решений для личного использования.			Да	106	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Участники знакомы друг с другом.			Да	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Совместное участие в переговорах.			Да	107	0
